title,genres,release_date,vote_average,popularity,year
The Family Man,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 14, ""name"": ""Fantasy""}]",2000-12-12,6.5,19.705489,2000
RED,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2010-10-13,6.6,41.430245,2010
Any Given Sunday,"[{""id"": 18, ""name"": ""Drama""}]",1999-12-16,6.8,23.127561,1999
The Horse Whisperer,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1998-05-14,6.7,12.867352,1998
Collateral,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2004-08-04,7.0,44.815022,2004
The Scorpion King,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2002-04-16,5.3,37.537093,2002
Ladder 49,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",2004-10-01,6.2,10.99991,2004
Jack Reacher,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2012-12-20,6.3,56.868399,2012
Deep Blue Sea,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",1999-07-28,5.6,22.991269,1999
This Is It,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 99, ""name"": ""Documentary""}]",2009-10-28,6.7,15.798622,2009
Contagion,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2011-09-08,6.2,38.820858,2011
Kangaroo Jack,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",2003-01-17,4.3,10.292864,2003
Coraline,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2009-02-05,7.3,51.146047,2009
The Happening,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2008-06-11,4.9,20.501582,2008
Man on Fire,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2004-04-23,7.3,45.299089,2004
The Shaggy Dog,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2006-03-09,4.5,4.280619,2006
Starsky & Hutch,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2004-03-05,5.6,28.848842,2004
Jingle All the Way,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",1996-11-15,5.5,22.501041,1996
Hellboy,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2004-04-02,6.5,47.479755,2004
A Civil Action,"[{""id"": 18, ""name"": ""Drama""}]",1998-03-05,6.1,10.147321,1998
ParaNorman,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",2012-08-03,6.7,39.539045,2012
The Jackal,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",1997-11-14,6.1,19.747459,1997
Paycheck,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2003-12-25,5.9,29.018826,2003
Up Close & Personal,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1996-03-01,5.9,4.801849,1996
The Tale of Despereaux,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2008-12-19,5.8,16.493576,2008
The Tuxedo,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2002-09-27,5.3,21.549232,2002
Under Siege 2: Dark Territory,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1995-07-13,5.6,13.080725,1995
Jack Ryan: Shadow Recruit,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2014-01-15,5.9,42.538258,2014
Joy,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",2015-12-24,6.4,29.876507,2015
London Has Fallen,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2016-03-02,5.8,61.849521,2016
Alien: Resurrection,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}]",1997-11-12,5.9,37.44963,1997
Shooter,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2007-03-22,6.9,37.378081,2007
The Boxtrolls,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2014-09-10,6.6,30.656345,2014
Practical Magic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]",1998-10-16,6.3,15.142701,1998
The Lego Movie,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2014-02-06,7.5,59.547928,2014
Miss Congeniality 2: Armed and Fabulous,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",2005-03-11,5.3,19.998581,2005
Reign of Fire,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",2002-07-12,6.0,27.615108,2002
Gangster Squad,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",2013-01-10,6.2,29.041198,2013
Year One,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",2009-06-18,4.6,25.293538,2009
Invictus,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",2009-12-10,7.0,23.85119,2009
State of Play,"[{""id"": 28, ""name"": ""Action""}]",2009-04-17,6.7,21.685719,2009
Duplicity,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2009-03-19,5.7,13.630049,2009
My Favorite Martian,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",1999-02-11,5.1,6.80692,1999
The Sentinel,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2006-04-19,5.8,15.352807,2006
Planet 51,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",2009-11-19,5.6,23.661071,2009
Star Trek: Nemesis,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2002-12-13,6.1,21.605533,2002
Intolerable Cruelty,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2003-09-02,5.8,22.620125,2003
Trouble with the Curve,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2012-09-21,6.6,18.587114,2012
Edge of Darkness,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2010-01-29,6.2,24.657931,2010
The Relic,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1997-01-10,5.8,12.621769,1997
Analyze That,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2002-12-06,5.7,21.08952,2002
Righteous Kill,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2008-09-11,5.9,18.380176,2008
Mercury Rising,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1998-04-03,6.0,18.877795,1998
The Soloist,"[{""id"": 18, ""name"": ""Drama""}]",2009-04-24,6.6,17.299333,2009
The Legend of Bagger Vance,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",2000-11-02,6.3,16.848899,2000
Almost Famous,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",2000-09-15,7.4,21.547446,2000
Garfield: A Tail of Two Kitties,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2006-06-15,5.1,16.930969,2006
xXx: State of the Union,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2005-04-27,4.7,36.689223,2005
Priest,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",2011-05-05,5.4,28.350927,2011
Sinbad: Legend of the Seven Seas,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}]",2003-07-02,6.6,18.815442,2003
Event Horizon,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",1997-08-15,6.5,29.787135,1997
Dragonfly,"[{""id"": 18, ""name"": ""Drama""}]",2002-02-22,6.1,8.927137,2002
The Black Dahlia,"[{""id"": 18, ""name"": ""Drama""}]",2006-09-15,5.7,15.213484,2006
Flyboys,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",2006-09-22,6.3,13.155999,2006
The Last Castle,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2001-10-19,7.0,15.433244,2001
Supernova,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2000-01-14,4.9,5.762037,2000
Winter's Tale,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",2014-02-13,6.0,22.736038,2014
The Mortal Instruments: City of Bones,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 14, ""name"": ""Fantasy""}]",2013-08-21,6.2,45.514031,2013
Meet Dave,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",2008-07-08,5.0,18.676291,2008
Dark Water,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2005-06-27,5.3,14.376463,2005
Edtv,"[{""id"": 35, ""name"": ""Comedy""}]",1999-03-26,5.7,14.298297,1999
Inkheart,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2008-12-11,6.0,27.018886,2008
The Spirit,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 878, ""name"": ""Science Fiction""}]",2008-12-25,4.7,14.84856,2008
Mortdecai,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",2015-01-21,5.4,52.417529,2015
In the Name of the King: A Dungeon Siege Tale,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",2007-11-29,4.1,15.406173,2007
Beyond Borders,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10752, ""name"": ""War""}]",2003-10-23,6.7,6.523472,2003
The Monkey King 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2016-01-22,6.0,4.72629,2016
The Great Raid,"[{""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",2005-08-12,6.8,8.923215,2005
Deadpool,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",2016-02-09,7.4,514.569956,2016
Holy Man,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",1998-10-08,4.9,9.265672,1998
American Sniper,"[{""id"": 10752, ""name"": ""War""}, {""id"": 28, ""name"": ""Action""}]",2014-12-11,7.4,87.53437,2014
Goosebumps,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}]",2015-08-05,6.2,45.351617,2015
Just Like Heaven,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",2005-09-16,6.5,13.43573,2005
The Flintstones in Viva Rock Vegas,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",2000-04-28,4.4,6.248309,2000
Rambo III,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",1988-05-24,5.7,31.294717,1988
Leatherheads,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",2008-03-24,5.7,7.739276,2008
The Ridiculous 6,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 37, ""name"": ""Western""}]",2015-12-11,4.9,19.694695,2015
Did You Hear About the Morgans?,"[{""id"": 35, ""name"": ""Comedy""}]",2009-12-17,5.1,14.403696,2009
The Internship,"[{""id"": 35, ""name"": ""Comedy""}]",2013-06-07,6.1,1.551497,2013
Resident Evil: Afterlife,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",2010-09-09,5.8,2.143764,2010
Red Tails,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",2012-01-19,5.9,12.29603,2012
The Devil's Advocate,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1997-10-17,7.2,33.8473,1997
That's My Boy,"[{""id"": 35, ""name"": ""Comedy""}]",2012-06-14,5.5,21.723897,2012
DragonHeart,"[{""id"": 14, ""name"": ""Fantasy""}]",1996-05-31,6.4,31.791979,1996
After the Sunset,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",2004-11-12,6.0,14.113066,2004
Ghost Rider: Spirit of Vengeance,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 53, ""name"": ""Thriller""}]",2011-12-10,4.7,48.622278,2011
Captain Corelli's Mandolin,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",2001-08-17,5.5,9.061866,2001
The Pacifier,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 53, ""name"": ""Thriller""}]",2005-03-04,5.8,35.4763,2005
Walking Tall,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",2004-04-02,6.0,23.438398,2004
Forrest Gump,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1994-07-06,8.2,138.133331,1994
Alvin and the Chipmunks,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}]",2007-12-13,5.5,47.336034,2007
Meet the Parents,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2000-10-06,6.6,29.97224,2000
Pocahontas,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",1995-06-14,6.7,47.845589,1995
Superman,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",1978-12-13,6.9,48.507081,1978
The Nutty Professor,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}]",1996-06-26,5.4,20.28119,1996
Hitch,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2005-02-10,6.4,34.576913,2005
George of the Jungle,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",1997-07-15,5.4,22.573237,1997
American Wedding,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2003-08-01,6.0,36.194802,2003
Captain Phillips,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2013-10-10,7.6,52.786917,2013
Date Night,"[{""id"": 35, ""name"": ""Comedy""}]",2010-04-08,5.9,38.06168,2010
Casper,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",1995-05-26,6.0,19.830132,1995
The Equalizer,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",2014-09-24,7.1,79.922059,2014
Maid in Manhattan,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2002-12-13,5.6,19.738215,2002
Crimson Tide,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",1995-05-12,7.0,20.334629,1995
The Pursuit of Happyness,"[{""id"": 18, ""name"": ""Drama""}]",2006-12-14,7.7,80.581367,2006
Flightplan,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",2005-09-22,6.1,32.05145,2005
Disclosure,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",1994-12-09,5.9,15.064058,1994
City of Angels,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",1998-04-10,6.4,21.272734,1998
Kill Bill: Vol. 1,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",2003-10-10,7.7,79.754966,2003
Bowfinger,"[{""id"": 35, ""name"": ""Comedy""}]",1999-08-12,6.0,13.191829,1999
Kill Bill: Vol. 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2004-04-16,7.6,50.622607,2004
Tango & Cash,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",1989-12-22,6.1,22.787667,1989
Death Becomes Her,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]",1992-07-30,6.3,29.498304,1992
Shanghai Noon,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 37, ""name"": ""Western""}]",2000-05-26,6.2,25.400935,2000
Executive Decision,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1996-03-15,5.8,17.231675,1996
Mr. Popper's Penguins,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2011-06-17,5.7,32.835777,2011
The Forbidden Kingdom,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2008-04-18,6.3,17.097041,2008
Free Birds,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2013-10-30,5.7,14.414937,2013
Alien³,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}]",1992-05-22,6.2,45.856409,1992
Evita,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",1996-12-14,5.9,7.027139,1996
Ronin,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 12, ""name"": ""Adventure""}]",1998-09-25,6.7,32.657488,1998
The Ghost and the Darkness,"[{""id"": 12, ""name"": ""Adventure""}]",1996-10-11,6.4,12.46525,1996
Paddington,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",2014-11-27,7.0,39.882276,2014
The Watch,"[{""id"": 35, ""name"": ""Comedy""}]",2012-07-26,5.3,39.395881,2012
The Hunted,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2003-03-11,6.0,8.634954,2003
Instinct,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1999-06-04,6.2,7.386394,1999
Stuck on You,"[{""id"": 35, ""name"": ""Comedy""}]",2003-12-10,5.1,8.802525,2003
Semi-Pro,"[{""id"": 35, ""name"": ""Comedy""}]",2008-02-28,5.4,10.449975,2008
The Pirates! In an Adventure with Scientists!,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",2012-03-12,6.4,23.700759,2012
Changeling,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",2008-01-30,7.3,27.50916,2008
Chain Reaction,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",1996-08-02,5.3,20.58862,1996
The Fan,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1996-08-15,5.7,4.366488,1996
The Phantom of the Opera,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2004-12-08,7.0,18.927463,2004
Elizabeth: The Golden Age,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",2007-09-09,6.6,15.274137,2007
Æon Flux,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2005-11-30,5.4,29.954302,2005
Gods and Generals,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",2003-02-21,6.1,4.362535,2003
Turbulence,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1997-01-09,5.2,4.700024,1997
Imagine That,"[{""id"": 35, ""name"": ""Comedy""}]",2009-06-19,5.7,12.340384,2009
